backbone,arm_id,arm_name,seed,trainable_parameters,total_parameters,wall_clock_seconds,n_train_examples,n_train_pos,n_train_neg,val_mrr,val_top1,val_top3,val_ndcg,val_auprc,val_ece,val_brier,test_mrr,test_top1,test_top3,test_ndcg,test_auprc,test_ece,test_brier
chemformer,A3,tanimoto_retrieval,20260728,180737,19363937,40.72,788,394,394,0.183473,0.0,0.0,0.370575,0.085685,0.389087,0.261107,0.190779,0.0,0.0,0.377343,0.090322,0.389054,0.261011
chemformer,A3,tanimoto_retrieval,20260729,180737,19363937,40.56,788,394,394,0.246662,0.078431,0.078431,0.419243,0.0866,0.428526,0.293388,0.282965,0.109091,0.181818,0.448087,0.091699,0.428551,0.293277
chemformer,A3,tanimoto_retrieval,20260730,180737,19363937,24.49,788,394,394,0.499673,0.196078,0.72549,0.624339,0.239387,0.347615,0.229791,0.444242,0.163636,0.636364,0.580605,0.234867,0.347308,0.22963
chemformer,A4,template_perturbation,20260721,180737,19363937,25.58,788,394,394,0.44183,0.137255,0.607843,0.579929,0.21027,0.410184,0.277534,0.378485,0.072727,0.581818,0.531389,0.163875,0.410176,0.277557
chemformer,A4,template_perturbation,20260722,180737,19363937,24.18,788,394,394,0.445028,0.196078,0.627451,0.579177,0.231263,0.417147,0.283317,0.448398,0.236364,0.527273,0.580555,0.212862,0.417093,0.283278
chemformer,A4,template_perturbation,20260723,180737,19363937,24.17,788,394,394,0.303548,0.039216,0.470588,0.469637,0.124905,0.382996,0.256037,0.297121,0.054545,0.345455,0.463488,0.109151,0.383121,0.256154
chemformer,A4,template_perturbation,20260724,180737,19363937,41.98,788,394,394,0.278361,0.098039,0.196078,0.444045,0.134436,0.415699,0.282242,0.335779,0.163636,0.272727,0.488947,0.195024,0.41581,0.282278
chemformer,A4,template_perturbation,20260725,180737,19363937,33.82,788,394,394,0.440756,0.235294,0.470588,0.572766,0.164096,0.345368,0.228585,0.401147,0.163636,0.509091,0.544425,0.153286,0.345219,0.228454
chemformer,A4,template_perturbation,20260726,180737,19363937,33.85,788,394,394,0.486928,0.235294,0.705882,0.612877,0.198527,0.392265,0.263168,0.527273,0.345455,0.581818,0.641024,0.205268,0.392376,0.263255
chemformer,A4,template_perturbation,20260727,180737,19363937,42.6,788,394,394,0.284057,0.058824,0.27451,0.450581,0.129462,0.369234,0.245735,0.314892,0.109091,0.272727,0.47438,0.131253,0.369507,0.245911
chemformer,A4,template_perturbation,20260728,180737,19363937,25.58,788,394,394,0.396242,0.137255,0.607843,0.54122,0.165722,0.397118,0.267029,0.341797,0.072727,0.490909,0.499937,0.160001,0.397099,0.267006
chemformer,A4,template_perturbation,20260729,180737,19363937,42.51,788,394,394,0.191387,0.0,0.058824,0.377366,0.086297,0.372018,0.248229,0.20619,0.0,0.127273,0.389444,0.09007,0.372133,0.248158
chemformer,A4,template_perturbation,20260730,180737,19363937,25.19,788,394,394,0.443161,0.196078,0.588235,0.578157,0.182465,0.342871,0.226871,0.420952,0.163636,0.581818,0.560711,0.156976,0.342658,0.226762
chemformer,A5,unconstrained_edit,20260721,180737,19363937,24.83,788,394,394,0.41634,0.176471,0.490196,0.557986,0.210747,0.41541,0.281321,0.340303,0.054545,0.472727,0.50099,0.154313,0.415449,0.281557
chemformer,A5,unconstrained_edit,20260722,180737,19363937,33.26,788,394,394,0.513072,0.294118,0.647059,0.63197,0.247236,0.356541,0.235432,0.420303,0.163636,0.563636,0.561848,0.207344,0.356461,0.235542
chemformer,A5,unconstrained_edit,20260723,180737,19363937,41.31,788,394,394,0.465359,0.235294,0.568627,0.595402,0.250066,0.329088,0.215114,0.41303,0.163636,0.527273,0.556159,0.203509,0.329352,0.215908
chemformer,A5,unconstrained_edit,20260724,180737,19363937,24.91,788,394,394,0.40719,0.156863,0.54902,0.551047,0.212258,0.403246,0.271633,0.36697,0.109091,0.472727,0.520564,0.156589,0.403167,0.271673
chemformer,A5,unconstrained_edit,20260725,180737,19363937,32.25,788,394,394,0.461765,0.196078,0.627451,0.593557,0.229442,0.356935,0.235323,0.423939,0.145455,0.545455,0.564983,0.188509,0.356773,0.235462
chemformer,A5,unconstrained_edit,20260726,180737,19363937,32.38,788,394,394,0.465686,0.235294,0.588235,0.595913,0.246006,0.401664,0.268987,0.384545,0.127273,0.436364,0.534046,0.189145,0.401523,0.269299
chemformer,A5,unconstrained_edit,20260727,180737,19363937,41.17,788,394,394,0.451634,0.215686,0.54902,0.584745,0.22412,0.411511,0.275097,0.410303,0.163636,0.454545,0.553161,0.215965,0.411633,0.275638
chemformer,A5,unconstrained_edit,20260728,180737,19363937,29.38,788,394,394,0.472876,0.235294,0.647059,0.601699,0.276468,0.316668,0.2085,0.40697,0.145455,0.509091,0.551346,0.203961,0.316695,0.208716
chemformer,A5,unconstrained_edit,20260729,180737,19363937,24.85,788,394,394,0.415359,0.156863,0.529412,0.557743,0.212563,0.366472,0.243255,0.380909,0.090909,0.472727,0.532111,0.171132,0.366483,0.243341
chemformer,A5,unconstrained_edit,20260730,180737,19363937,24.99,788,394,394,0.496078,0.235294,0.647059,0.619928,0.252994,0.348421,0.229778,0.468788,0.218182,0.636364,0.598596,0.271621,0.348196,0.229729
chemformer,A6,rule_pc_cng,20260721,180737,19363937,24.77,788,394,394,0.420588,0.176471,0.490196,0.561413,0.209071,0.413697,0.279942,0.337273,0.054545,0.472727,0.49861,0.153962,0.413695,0.280129
chemformer,A6,rule_pc_cng,20260722,180737,19363937,33.85,788,394,394,0.493137,0.254902,0.627451,0.616986,0.236821,0.357055,0.235882,0.402121,0.109091,0.563636,0.548858,0.200948,0.356815,0.235884
chemformer,A6,rule_pc_cng,20260723,180737,19363937,42.56,788,394,394,0.481373,0.27451,0.54902,0.606798,0.24241,0.33522,0.218511,0.427273,0.181818,0.527273,0.566834,0.202388,0.33723,0.219178
chemformer,A6,rule_pc_cng,20260724,180737,19363937,33.44,788,394,394,0.406863,0.156863,0.529412,0.55089,0.207126,0.367996,0.243935,0.37303,0.109091,0.490909,0.525559,0.16044,0.367776,0.244009
chemformer,A6,rule_pc_cng,20260725,180737,19363937,33.0,788,394,394,0.457843,0.196078,0.607843,0.59049,0.226216,0.355979,0.234755,0.416364,0.127273,0.527273,0.559392,0.185431,0.355823,0.23489
chemformer,A6,rule_pc_cng,20260726,180737,19363937,42.23,788,394,394,0.488562,0.27451,0.588235,0.612953,0.270393,0.408781,0.271991,0.401515,0.145455,0.509091,0.547392,0.189326,0.409622,0.272502
chemformer,A6,rule_pc_cng,20260727,180737,19363937,25.44,788,394,394,0.445098,0.215686,0.509804,0.579459,0.241865,0.353549,0.233749,0.440303,0.2,0.545455,0.576051,0.222821,0.353685,0.233929
chemformer,A6,rule_pc_cng,20260728,180737,19363937,42.52,788,394,394,0.472876,0.235294,0.647059,0.601699,0.265925,0.425148,0.287033,0.394848,0.109091,0.545455,0.542827,0.195183,0.424977,0.287523
chemformer,A6,rule_pc_cng,20260729,180737,19363937,25.4,788,394,394,0.433007,0.176471,0.54902,0.571484,0.214274,0.365941,0.243057,0.390606,0.127273,0.509091,0.539088,0.177162,0.365994,0.243127
chemformer,A6,rule_pc_cng,20260730,180737,19363937,25.35,788,394,394,0.50817,0.254902,0.686275,0.629024,0.257493,0.348618,0.229851,0.476364,0.218182,0.654545,0.604617,0.272151,0.348316,0.229759
gnn,A0,positive_only,20260721,187265,187265,9.22,394,394,0,0.320682,0.078431,0.45098,0.482082,0.138079,0.433294,0.297128,0.338485,0.109091,0.381818,0.49456,0.11935,0.432355,0.296786
gnn,A0,positive_only,20260722,187265,187265,9.41,394,394,0,0.252404,0.019608,0.235294,0.4285,0.125832,0.871841,0.869503,0.257554,0.036364,0.236364,0.431456,0.122901,0.870923,0.868351
gnn,A0,positive_only,20260723,187265,187265,8.98,394,394,0,0.227638,0.0,0.196078,0.408388,0.117996,0.874547,0.874209,0.258463,0.018182,0.290909,0.433108,0.129282,0.87392,0.873538
gnn,A0,positive_only,20260724,187265,187265,9.07,394,394,0,0.221148,0.0,0.156863,0.403446,0.113386,0.874501,0.874131,0.251104,0.018182,0.254545,0.427286,0.125853,0.873872,0.87346
gnn,A0,positive_only,20260725,187265,187265,5.34,394,394,0,0.303968,0.058824,0.411765,0.470129,0.127885,0.463857,0.324509,0.287619,0.054545,0.363636,0.456531,0.111517,0.463696,0.32485
gnn,A0,positive_only,20260726,187265,187265,7.28,394,394,0,0.285994,0.039216,0.392157,0.454814,0.137782,0.781871,0.720797,0.281515,0.036364,0.345455,0.450939,0.119062,0.780099,0.718621
gnn,A0,positive_only,20260727,187265,187265,7.39,394,394,0,0.258777,0.039216,0.196078,0.432335,0.110701,0.797301,0.74513,0.266429,0.036364,0.254545,0.438975,0.110539,0.796048,0.743531
gnn,A0,positive_only,20260728,187265,187265,9.08,394,394,0,0.300607,0.078431,0.254902,0.465779,0.134877,0.874732,0.874529,0.29842,0.054545,0.309091,0.465456,0.140902,0.87416,0.873956
