backbone,arm_id,arm_name,seed,trainable_parameters,total_parameters,wall_clock_seconds,peak_memory_mb,inference_latency_ms,n_train_examples,n_train_pos,n_train_neg,val_mrr,val_top1,val_top3,val_ndcg,val_auprc,val_ece,val_brier,test_mrr,test_top1,test_top3,test_ndcg,test_auprc,test_ece,test_brier
chemformer,A5,unconstrained_edit,20260722,180737,19363937,20.1,365.3,55.6876,788,394,394,0.412138,0.137255,0.588235,0.555569,0.186716,0.416399,0.282606,0.475628,0.218182,0.672727,0.604445,0.248531,0.416665,0.282763
chemformer,A5,unconstrained_edit,20260723,180737,19363937,32.89,365.3,69.7936,788,394,394,0.420962,0.176471,0.509804,0.561179,0.162105,0.387504,0.25894,0.485152,0.254545,0.618182,0.610766,0.220728,0.388537,0.259511
chemformer,A5,unconstrained_edit,20260724,180737,19363937,34.15,365.3,60.7216,788,394,394,0.380766,0.117647,0.54902,0.531059,0.160536,0.411746,0.278514,0.466234,0.218182,0.618182,0.596939,0.225558,0.412528,0.278893
chemformer,A5,unconstrained_edit,20260725,180737,19363937,32.32,365.3,77.4753,788,394,394,0.380579,0.137255,0.45098,0.529618,0.170895,0.358892,0.237679,0.479394,0.254545,0.6,0.606088,0.251815,0.360013,0.238247
chemformer,A5,unconstrained_edit,20260726,180737,19363937,25.77,365.3,62.093,788,394,394,0.428945,0.196078,0.490196,0.566551,0.162939,0.390935,0.261842,0.495931,0.254545,0.636364,0.619231,0.207301,0.391781,0.2623
chemformer,A5,unconstrained_edit,20260727,180737,19363937,32.31,365.3,76.5125,788,394,394,0.358357,0.098039,0.490196,0.51333,0.169158,0.37044,0.245924,0.449264,0.218182,0.509091,0.582445,0.241041,0.372182,0.246894
chemformer,A5,unconstrained_edit,20260728,180737,19363937,32.67,365.3,71.8196,788,394,394,0.403782,0.156863,0.509804,0.548139,0.171957,0.386912,0.25846,0.476364,0.236364,0.636364,0.604529,0.241112,0.387991,0.259022
chemformer,A5,unconstrained_edit,20260729,180737,19363937,32.23,365.3,77.6601,788,394,394,0.378268,0.117647,0.529412,0.528939,0.168417,0.367922,0.243937,0.448788,0.181818,0.654545,0.584065,0.23464,0.369443,0.244643
chemformer,A5,unconstrained_edit,20260730,180737,19363937,18.93,365.3,64.266,788,394,394,0.393838,0.137255,0.490196,0.54046,0.168772,0.344291,0.227774,0.460606,0.218182,0.6,0.592438,0.236854,0.344561,0.227904
chemformer,A6,rule_pc_cng,20260721,180737,19363937,33.88,365.3,76.9941,788,394,394,0.397432,0.137255,0.529412,0.543437,0.168274,0.369457,0.245757,0.455152,0.2,0.618182,0.588244,0.198137,0.369744,0.245938
chemformer,A6,rule_pc_cng,20260722,180737,19363937,28.94,365.3,74.5527,788,394,394,0.489729,0.27451,0.568627,0.612079,0.202402,0.350245,0.231958,0.440455,0.2,0.581818,0.575842,0.224778,0.350422,0.23206
chemformer,A6,rule_pc_cng,20260723,180737,19363937,35.37,365.3,73.2373,788,394,394,0.406583,0.156863,0.490196,0.549921,0.156852,0.332255,0.219461,0.486667,0.254545,0.563636,0.611746,0.202728,0.332718,0.219674
chemformer,A6,rule_pc_cng,20260724,180737,19363937,35.22,365.3,73.2406,788,394,394,0.376517,0.137255,0.470588,0.526512,0.149875,0.401954,0.2708,0.464545,0.218182,0.581818,0.595054,0.197123,0.402195,0.270881
chemformer,A6,rule_pc_cng,20260725,180737,19363937,36.19,365.3,74.1009,788,394,394,0.393487,0.137255,0.509804,0.540362,0.173017,0.35955,0.238446,0.467879,0.218182,0.636364,0.598376,0.21821,0.360051,0.238708
chemformer,A6,rule_pc_cng,20260726,180737,19363937,33.97,365.3,73.0479,788,394,394,0.464869,0.254902,0.529412,0.593186,0.17514,0.360505,0.239199,0.493506,0.272727,0.618182,0.616038,0.212301,0.360842,0.239393
chemformer,A6,rule_pc_cng,20260727,180737,19363937,20.75,365.3,58.0959,788,394,394,0.377684,0.117647,0.509804,0.527434,0.165247,0.346665,0.229414,0.457316,0.218182,0.563636,0.588582,0.236267,0.347075,0.229643
chemformer,A6,rule_pc_cng,20260728,180737,19363937,22.12,365.3,83.759,788,394,394,0.421148,0.156863,0.607843,0.560933,0.150001,0.398545,0.268172,0.371818,0.090909,0.527273,0.524483,0.159745,0.398684,0.268262
